reviews,ratings
จำไม่ได้ว่าปีไหน น่าจะ ช่วงปลายปี 57 หรือ 58 ตอนนั้นเราเป็นริดสีดวง ไม่กล้าไปหาหมอเพราะกลัวการรักษาแล้วจะเจ็บ และอายที่จะต้องเปิดก้นให้คนอื่นดู (เป็นคนขี้อายครับเข้าห้องน้ำจะปัสสาวะยังต้องเข้าห้องที่ให้ไว้สำหรับอุจจาระ) เลยปล่อยมันรุกรามจนก้อนมันโตมากๆ และต้องใช้นิ้วดันอย่างเดียวมันถึงจะเข้าไป เจ็บปวดทรมานมาก พอไปหาถึง รพ.ด้วยความเจ็บปวด ก็เข้าพบหมอตรวจดูอาการ และส่งเคสของเราไปหาหมออีกคนน่าจะเฉพาะทางแล้วคราวนี้ หมอไม่ได้แค่ตรวจดูโรคที่เราเป็นหมอดูหลายๆอย่าง ดูจากความกลัวของเราที่ตัวสั่นไหวเมื่อรู้ว่าต้อง แอ็ดมิท เราอ่านข้อมูลจามรักษาผ่านเว็ปไปเรื่อยก่อนเข้ารับการรักษา เขาว่ามันเป็นโรคที่ไม่ถึงตาย เป็นโรคที่คนเป็นกันเยอะ ถ้าก้อนอยู่ด้านในก็รัดยางให้มันขาดและก็จะออกมาตอนเราอุจจาระ เราเป็นแบบภายนอก อ่านเจอว่าก็จะฉีดยาชา ห๊ะฉีดยาชา ถึงมันจะชาๆแต่ก็รู้สึกอยู่ดีว่าหมอทำอะไรกับก้นเรา ความรู้สึดตอนโดนมีดผ่า อาจจะไม่เจ็บหรือเจ็บน้อยมากๆ แต่ก็น่าจะมีความรู้สึกที่โดนกระทำโดยการรักษาอยู่อาจจะเป็นความรู้สึก กลัวๆเสียวๆ (คือคิดไปเองว่าต้องรู้สึกงี้แน่ๆ) หมอคงจับได้ ทั้งที่ตอนนั้นเรายังไม่มีบัตรประกันสังคม ใช้สิทธิ์30บาทรักษาทุกโรค คิดว่าต้องโดนแค่ฉีดยาชาแน่ๆ เพราะไม่ได้จ่ายเงินสด จังหวะนอนอยู่บนเตียงรถเข็นที่โดนเข็นไปห้องผ่าตัดกลัวมากๆ แต่พอเข้าห้องผ่าตัดย้ายเตียงก้มหน้าและหมอเอาที่ครอบจมูกกับปากเหมือนในหนัง เหมือนในละครพวกฉากเข้ารพ. จำได้ว่าหมอคุยมาเราก็ตอบผ่านไปไม่ถึงนาที ไม่ถึงนาทีจริงๆ เท่านั้นแหละ รู้สึกตัวอีกทีอยู่ที่เตียงในห้องรวม เอ้า..คือโล่งใจมากๆที่เสร็จแล้ว และเราไม่ได้รู้สึกตัวแสดงว่าไม่ได้แค่ฉีดยาชา เราโดนดมยา(วางยาสลบ) แฮปปี้ มากๆ ที่ไม่รู้สึกตัวตอนโดนผ่าตัดเพราะเรากลัวมากๆ แต่ตอนอ่านในเว็ปใครที่บอกว่า ผ่าเสร็จ 3 วันเดินป๋อ เราเถียงขาดใจ 555 เดินก็ลำบาก อึก็ลำบาก ไม่กล้าเบ่งแรงกลัวจะเจ็บ แต่ก็เจ็บจริง เจ็บแบบจี๊ดๆ ตอนเดินขึ้นบรรได ลงบรรไดงี้ นอนก็หลับไม่ค่อยเต็มอิ่ม พึ่งรู้ว่า ตอนเรานอนร่างกายเราก็ขมิบก้นเองได้ พอก้นขมิบเท่านั้นแหละ สดุ้งตื่นเลย เพราะมันเจ็บ เจ็บแบบจี๊ดๆ ความรู้สึกมันจี๊ดดดดแล้วก็หายไป ใช้เวลาพักฟื้นหลังผ่าตัดที่เตียงใน รพ. 3วัน 2 คืน กลับมาที่บ้าน เอาแบบหายสนิดจริงๆเลยนะ เดินป๋อ ลุกนั่งสะดวก อึไม่เจ็บ ในเคสของเราคือ 1เดือน การที่ อึเสร็จออกจากห้องน้ำแล้วมานั่งได้เลยมันรู้สึกดีจริงๆ 555 สำหรับผม สุดยอดมากๆครับ ที่เลิดสิน พอเข้าทำงาน ก็เลือกประกันสังคมอยู่กับเลิดสินเหมือนเดิม,1
เคยใช้บริการตอนขาหัก โดยใช้สิทธิ์ประกันสังคม ไม่ได้จ่ายเงินเอง การดูแลค่อนข้างโอเคเลย แต่ว่าต้องไปหลายแผนก ย้อนไปย้อนมา หมอดูแลดีค่ะ ช่วงขาหักใหม่ๆ นัด 1 สัปดาห์ เปลี่ยนเฝือก จากนั้นนัดอีกทุก 2 สัปดาห์ เพื่อดูว่าเฝือกหลวมมั้ย มีคนดูแล และสอนเรื่องการเดินด้วยไม้ค้ำด้วยค่ะ  ประทับใจมากๆ แต่ตรงแผนกเอกซเรย์ค่อนข้างจะดุไปนิดนึงค่ะ,1
รอคิวตรวจนานมากค่ะ มาตั้งแต่ 6 โมงเช้า กว่าจะได้ตรวจก็บ่าย 3 โมง ขนาดเป็นคนไข้เปลนอนยังนานขนาดนี้ แต่คุณหมอดูแลดีมาก พอเห็นอาการคนไข้ก็สั่งแอดมิททันที ส่วนพยาบาลแผนกไตก็บริการดีและให้คำแนะนำที่เป็นประโยชน์อย่างมากค่ะ คงต้องทำใจเรื่องการรอคิวนาน เพราะเป็นโรงพยาบาลของรัฐฯ แต่การดูแลและความเชี่ยวชาญของคุณหมอก็สมกับที่ต้องรอค่ะ,1
มาครั้งแรก ประทับใจมากคับ บริการเหมือน รพ เอกชนเลย อีกอย่างทีประทับใจคือ คุญพยาบาล บริการดีมากพูดจาไพเราะ คับ คุณหมอ ก็พูดจาไพเราะ รักษา ดูแล ไห้ ดีมากจริง ซื่ง ไม่นึกว่า จะ ได้รับ ความสะดวกสบาย แบบนี้จาก รพ ของรัฐ ตอนมาจากต่างจังหวัด มีคนพูดว่า คนแน่นมาก ต้องมาจองคิว ตี5 ถึงจะได้ตรวจ แต่เอาเข้าจริงๆ สะดวกมาก ได้ตรวจใว ไม่รอนานอย่างที่คิด อีกอย่าง มีไห้คนใข้ออกกำลังกายตอนช้าว สนุกดี คนไข้ที่มาดูอารมห์ดี ยิ้มแย้มแจ่มใส,1
บริการดีครับ แต่คนเยอะมากๆเลย ที่ใช้บริการคือมันใกล้ และสะดวกดีครับ อยากให้ปรับปรุงเรื่องการจัดคิวดีๆครับ เพราะบางทีต้องใช้เวลาเป็นวันๆในการไปหาหมอที เสียเวลามากครับ ต้องลางานเป็นวันๆ แต่โดยรวมก็สะดวกและดีครับ ร้านอาหารอร่อยมากครับ อิๆๆ ชอบเวลาไป ธุระแถวนั้น เดินทาง โดย bts ลงสุรศักดิ์ และนั่งวินไป แป๊บเดียว,1
เคยมานอน รพ. เลิดสินท1 อาทิตย์ เท้าบวม การทำงานเป็นระบบ แต่ดูการให้ข้อมูล และการเอาใจใส่คนไข้ไม่มี ห้องประกันสังคม รพ. อื่นเค้าเป็นห้องแอร์หมดละ นี่ยังเป็นห้องพัดลม ตึกเก่าไปนิด เรื่องการรักษา เหมือนจะหวงยา ไม่ค่อยให้ยากลับไปกินที่บ้าน ส่วนเรื่องแพทยผ์ มีแต่นักศึกษาแพทย์ ถามอะไรก็ต้อวรอถามอาจารย์ บางครับถามจนผมไปทำงานวาย ผลกระทบเยอะเหลือเกิน,1
เลือกมา รพ นี้เพราะใกล้ที่พัก แต่บริการได้แย่มาก... ไปรักษาครั้งแรก และชำระเงินเอง ให้รอทำบัตรผู้ป่วยใหม่ถึง 2 ชม ทั้งๆ ที่คนไข้มาคนเดียว มีอาการเวียนหัว แจ้ง พนง แต่บอกให้นั่งรอไม่สนใจ เราก็นั่งรอเพราะเห็นว่ามาแล้วก็ตรวจหน่อย...... พอถึงคิวจะได้ไปตรวจเฉพาะทาง... พยาบาลหน้าแผนกบอก ตัดคิวแล้วให้ไปชั้นล่างตรวจและรับยาไปทาน...เราก็เลยทำตาม (คือทำไมถึงโยนคนไข้ไปมาแบบนี้???)...... เราไปรอคิวด้านล่างอยู่ประมาน 15 นาที ถึงได้ตรวจ คุณหมอก็ถามอาการ และขอตรวจคอ บอกไม่มีไข้ หายห่วง เป็นคออักเสบซึ่งเราก็บอกอาการว่ากลัวจะเป็นไข้หวัดใหญ่ หมอก็ตอบแบบเดิม จนมาถึงวันที่ 16 เราอาการไม่ดีขึ้นและปวดตัวมากขึ้น เลยไปตรวจอีกโรงพยาบาล ทาง รพ. ขอเจาะเลือด กับป้ายจมูกไปตรวจ สรุปว่าเป็นไข้หวัดใหญ่สายพันธุ์ A....สั้นๆ แย่ค่ะ ครั้งแรกและครั้งเดียว,0
เมื่อเดือนเมษายน ได้พาแม่บ้านชาวเขาไปรับการรักษา และ ทำการผ่าตัดเนื้องอกในมดลูก  ได้รับการผ่าตัด และ ดูแลอย่างดี ตลอดระยะเวลาที่ทำการรักษา โดย นายแพทย์ศุภณัฐ บุรินทร์กุล คลินิคนรีเวชกรรม อาคาร 33 ปี ชั้น 3 ฟังจากที่แม่บ้านเธอเล่าให้ฟัง ถึงการดูแลเอาใจใส่ในการรักษาของคุณหมอและบุคลากรของโรงพยาบาลแล้ว ประทับใจมาก ไม่คิดว่า ยังมีคุณหมอและพยาบาลที่ปฏิบัติดี ๆ กับคนไข้ โดยไม่แบ่งชนชั้นได้แบบนี้ เธอได้รับการดูแลอย่างดีมากจริง ๆ ยกเว้น เรื่องที่จอดรถ สำหรับผู้มาเยี่ยม ที่ ควรปรับปรุง เพราะ มีตึก จอดรถ แต่ไม่ยอมให้ใช้ ทั้ง ๆ ที่ว่าง ซึ่งถือว่าเสียประโยชน์ในการสร้างขึ้นมา และ พนักงานการเงิน ที่เหมือนมีอภิสิทธิ์ ในการทำงาน จนปฏิบัติต่อคนที่มาติดต่อ เหมือน รำคาญคนที่มาจ่ายเงิน หน้าบูดบื้ง พูดจาไม่เพราะ และ หันไปคุยกันเอง แบบไม่สนใจการทำงาน อันนี้ ถือว่า ไม่ผ่านนะ ,1
"เพิ่งพาแฟนไปหาหมอตอนประมาณตีสอง ทุกอย่างก็ปกติดี จนมาถึงตอนรับยา เราเอาบัตรไปยื่นที่ช่องชำระเงิน และกดกริ่ง 1 ครั้ง ซึ่งพนักงานการเงินก็ตื่นมา และบอกว่า ไปช่องจ่ายยา และปิดประตูเสียงดังใส่ เราก็เข้าใจว่าคนกำลังนอน อาจจะหงุดหงิด ทีนี้ถึงเวลาชำระเงิน เราก็ไปชำระเงิน เราเอาบัตรวางและเคาะกระจกเบาๆ ด้วยความที่ไม่กล้าเปิดกระจกโดยพละการ เพราะเป็นห้องการเงิน พอเราเคาะกระจก พนักตอบมาทันทีว่า ""ก็เปิดกระจกซิ"" เราก็เปิดกระจก พอเรายื่นเงินให้ ท่าทางก็ไม่พอใจ ตอนทอนเงินนี่แหละเรายังไม่ได้รับเงินทอนเลย วางเฉยเลย ซึ่งเหรีญที่ทอนให้ก็หล่นกระเต็มพื้น นางก็ไม่ขอโทษ หรือพูดอะไร จะปิดกระจกอย่างเดียว เราก็เลยขึ้นเลย ถามว่าชื่ออะไรก็ไม่ตอบจะปิดกระจกอย่างเดียว เราก็ให้ปิด จนพยาบาลเดินมาถามว่าเกิดอะไรขึ้น และพยาบาลมาขอโทษแทน พนักงานการเงินนางบอกว่า ""ไม่เห็นได้ทำอะไรเลย"" บอกตรงๆ ถ้าไม่มีอะไรก็คงไม่มีพยาบาลเดินมากับ รปภ และถามว่าเกิดอะไรขึ้น...พอพยาบาลเดินมาขอโทษเราก็ไม่ได้ติดใจอะไร เราก็เลยกลับ......พนักงานไม่สุภาพเลย เข้าใจว่ากำลังนอนหลับ แต่นี่เป็นหน้าที่ของคุณหรือเปล่า.....ฝากไปคิดด้วยครับ ผมไปโรงบาลก็ไม่ได้อยากไปทะเลาะกับใครหรอกนะครับ แค่ไปหาหตอนตีสองก็เหนื่อยจะแย่แล้ว....เจอพนักงานแย่ๆ ตอนตี 2 วันที่ 30 มีนาคม......ฝากขอโทษพนักงานการเงินคนนั้นด้วยนะครับ ที่ทำให้เสียเวลานอน .......วันแย่ๆอีกหนึ่งวัน",0
"เจ้าหน้าที่ที่ให้บริการแย่มาก ตอน7โมงเช้ามีเจ้าหน้าที่คนหนึ่งกำลังชี้แจงเรื่องระบบคิวใหม่ซักพักเจ้าหน้าที่หยุดพูด ทำให้เข้าใจ
ว่าพูดจบแล้วเลยเดินไปถามเจ้าหน้าที่อีกคน(ผญ)ว่า วางคิวแล้วสามารถไปทานข้าวได้เลยไหมคะ นางตวาดกลับมาเลย"" ก็ฟังที่เขาพูดสิคะ!!! ฟัง!!"" ไม่ทราบว่าไปทานรังแตนที่ไหนมาคะ คุณหมอบางคนก็พูดจาไม่ดีแสดงกริยาแย่มาก คราวหน้าก่อนมาทำงานรบกวนอย่าแขวนมารยาททิ้งไว้ที่บ้านนะคะ พกติดตัวมาด้วย",0
