reviews,ratings,reviews_en
           บรรยากาศโรงพยาบาลสวยงามมีแอร์เย็นสบาย  เดินทางไปสะดวก  บุคคลากรทุกคนบริการคนไข้ดีมากตั้งแต่เดินไปเลย  ก็จะมีคนคอยแนะนำว่ากรอกประวัติคนไข้ใหม่ยังไงบ้าง  ต้องทำอะไรในขั้นตอนต่อไป  ต้องไปหาหมอชั้นไหน   พอไปถึงหน้าห้องตรวจก็รอคิวไม่นานค่ะ  พยาบาลและคุณหมอใจดี  ค่ารักษาไม่แพง และรักษาดีมากค่ะ ,1,Hospital beautiful atmosphere with cool air. To ease Hospital staffs all very nice to me since. It is recommended that people wait to fill out new patient I know. What to do in the next step. Which floor to go to the doctor As I reached the front of the check was not waiting for me. Nurses and doctors generous The treatment is expensive And maintain very good
มีศูนย์โรงผิวหนังเฉพาะทางที่ดีมากๆ​ คุณหมอทุกคนเก่งมากๆ​ และใจดีมากๆ​ ให้คำปรึกษาดีมากในการรักษา อบอุ่นมากๆ​ พี่ๆพยาบาลก็น่ารัก​ แต่ว่าต้องไปเช้าๆหน่อยเพื่อไปรับคิว​ ยาของที่โรงพยาบาลก็ดีมากๆ​ ราคาไม่แพง​ เข้าถึงได้ง่าย​ ค่าใช้จ่ายโดยวมในการไปรักษาถือว่าไม่แพง​ อีกทั้งยังมีเครื่องมือในการตรวจที่ครบครัน​ มีห้องตรวจเฉพาะด้านหลายห้องมาก​ คุณหมอใจดีมาก​ ตอนไปตรวจครั้งแรกเครียดมาก​ แต่คุณหมอก็ชวนคุยให้หายเครียด​ ทำให้ชอบที่นี้มากๆ​ เวลามาหาหมอก็ไม่ค่อยเก็งเหมือนตอนมาแรกๆ​,1,"Center Specialty Hospital is very good. You are all very kind and very good mentor is great for keeping warm, so my nurse was lovely. You have to go a bit to get to the queue. Of medicine at the hospital, it is very inexpensive, easily accessible. The expected cost of the treatment is affordable. It also provides tools to inspect the facilities. The doctor has a lot of rooms. You are very kind At the first examination stress. But the doctor was invited to make stress disappear. Make love to this very He had little time for speculation, as the first step."
"หมอและพยาบาลบริการดีครับ สุขภาพเรียบร้อยให้การตรวจรักษาอย่างดี
ระบบการจัดคิดตรวจ จ่ายเงิน รับยา รับใบนัด เป็นระเบียบเรียบร้อยเข้าใจง่าย เครื่องมือที่ใช้ตรวจมีความทันสมัย สะอาด และค่าบริการไม่แพงเกินไป ตัวอาคารถือว่าใหม่ แต่ลิฟท์น้อยไปหน่อย ห้องน้ำมีกลิ่นบ้างแต่ถือว่าสะอาดพอสมควร มีพนักงานคอยทำความสะอาดตลอด
มีโรงอาหารและร้านค้าให้เลือกหลากหลาย เพียงพอต่อความต้องการ
การเดินทางมาสะดวก ที่จอดรถมีพอสมควร แต่แนะนำให้นั่งรถสาธารณมาจะดีกว่า",1,"Doctors and nurses serving good Health successfully to treatment well.
System checks that pay patients receive an appointment card, tidy, easy to understand. Monitoring tools are modern, clean and the service is too expensive. The building is new Lift a little less. Bathrooms smell, but is reasonably clean. Staff are constantly cleaning
A cafeteria and a variety of shops. Enough to meet demand
Getting comfortable Parking is enough But to ride the public better."
การให้บริการของพยาบาลและคุณหมอดีมากๆค่ะ โรงพยาบาลมีร้านค้าและตลาดให้ซื้อของเยี่ยมคนไข้ โรงอาหารก็อาหารอร่อย แต่คนเยอะทำให้ต้องรอคิวนานต้องไปแต่เช้ามืดและมักมีปัญหาเรื่องที่นั่งรอกับที่จอดรถไม่พออยู่บ่อยๆ แถมที่นั่งรอบางที่เองก็ร้อนมากๆไม่มีพัดลมให้ จะไปแต่ละทีต้องเตรียมของเตรียมตัวให้พร้อมออกจากบ้านตั้งแต่6โมงเพื่อไปรอคิวและจองที่นั่งรอพบคุณหมอ,1,Services provided by nurses and doctors very good. The hospital has to buy shops and markets of our patients. The food was delicious But he had to wait a long time to go early and often had trouble waiting with not enough parking lot. I'm waiting on some very hot with no fan. Each one will be prepared to be ready to leave home at 6 am to reserve a seat and wait for the doctor.
ที่ โรงพยาบาลราชวิถี ให้การตรวจรักษาและให้บริการดีมากๆ ตั้งแต่คุณหมอ คุณพยาบาล เจ้าหน้าที่ เจ้าหน้าที่เปล คุณหมอคนไข้เยอะมากๆ คุณหมอไม่พักเที่ยงคุณหมอตรวจคิวขอเราไปจนถึงบ่ายโมงกว่าๆ แล้วยังมีคิวคนไข้อีก คุณทานข้าวเที่ยงตอนไหนค่ะ เห็นแล้วอยากให้คุณหมอรักษาสุขภาพด้วย ต้องขอขอบคุณคุณหมอมากๆค่ะ ขอบคุณคุณพยาบาล ขอบคุณเจ้าหน้าที่ทุกท่านเลยค่ะ,1,"Hospital Rajvithi To maintain and service very good. Since your doctor your medical staff officers stretcher. Outpatient doctor lot You do not stay at the doctor checks the queue to get us over the afternoon. Then again, there are the queues of patients You now have lunch. Then I want you to stay healthy. I want to thank you very much. Thank you, nurse Thank you to all the staff it"
ดิฉันเคยไปผ่าตัดตาสองชั้นที่โรงพยาบาลราชวิถีค่ะซึ่งตาของดิฉันจะไม่เท่ากันข้างขวาจะเล็กกว่าข้างซ้ายเพราะมันเกียวกับหนังตาค่ะ ก่อนจะมาผ่าตัดที่โรงพยาบาลนี้ก็มีโรงพยาบาลอื่นแนะนำมาว่าให้ใช้สิทธิ์ของเราค่ะบัตร30บาทในการรักษาดิฉันเป็นคนต่างจังหวัดจึงทำเรื่องส่งตัวมาที่โรงพยบาลราชวิถี ซึ่งคุณหมอก็วินิจฉัย แล้วก็ตกลงจะผ่าตัดดึงหนังตาให้เป็น2ชั้นให้มันเท่ากัน ก็ได้จองคิว รอคิวแระมาณ5-6เดือนค่ะ คุณหมอก็ให้คำปรึกษาดีค่ะและนัดติดตามผลตลอดค่ะ,1,"I had to double eyelid surgery at a hospital here which Rajvithi my eyes are not equal to the right hand over his left eye because it's about me. Prior to surgery, the hospital has also recommended that hospitals make use of my card for 30 baht to treat me as a countryman, so it sent to the hospital's governance Rajvithi. The doctor's diagnosis It agreed to pull eyelid surgery is a 2 story, it was equally reserved in the Carboniferous queues at 5-6 months. Doctor's consultation and good follow-up appointment at me."
เป็นรพ.ที่ดิฉันมั่นใจเรื่องสูตินรีเวชมากค่ะ คุณหมอวินิจฉัยละเอียดและดีที่สุดสำหรับการรักษาผู้หญิงเฉพาะทางค่ะ(ถึงพยาบาลบางคนจะดุและปากเร็วดูบ้างแต่ก็ใช่ว่าจะละเลยคนไข้ค่ะ)ส่วนตัวคือไม่ชอบการบริการของพยาบาลบางท่าน..แต่การรักษาของทีมแพทย์สุดยอดค่ะ..เชี่ยวชาญที่สุดแล้วค่ะ เพราะการรักษาของดิฉันในครั้งนั้นใช้บัตรทองแต่การรักษาเทียบเท่ากันทุกสถานะภาพ โรงพยาบาลนี้ฝากชีวิตไว้ได้แน่นอนค่ะ,1,"The hospital's obstetric I am confident that much. Doctor diagnosis and the best treatment for women only way it (the hospital, someone will scold and mouth as fast as some Yes, but that would be ignoring the patient) and private is not like the services of nurses, some of you.. But the treatment. the medical team here.. the expertise it. The treatment of me at that time the Gold Card, but retaining all comparable status. This hospital has to leave the life course."
โรงพยาบาลราชวิธีเป็นโรงพยาบาลหนึ่งถือผมเข้าบ่อยที่สุดในกรุงเทพมหานครครับเพราะเป็นของรัฐบาลจึงมีค่ารักษาไม่สูง ค่อนข้างถูกด้วยซ้ำจึงทำให้ผมติดใจเรื่องของค่าใช้จ่ายอีกทั้งยังอยู่ใกล้ที่พัก ติดสถานีรถไฟฟ้า BTS ทำให้สะดวกยิ่งขึ้นเพระาต่อให้รอคิวนานแค่ไหนก็ยังไปที่อื่นก่อนได้เพื่อเป็นการประหยัดเวลาแถสที่นั่นยังมีของกินให้มามายเพราะติดห้างสรรพสินค้ามากมายครับ ที่ผมชอบนั่งสุดก็คงจะเป็น Center One เพราะมีแอร์ครับ 555 ทำให้เพลินจะได้ไม่หงุดหงิดตอนรอคิวด้วยครับ อยากให้เพื่อนๆลองเข้าไปใช้บริการดูนะครับสถาบันผิวหนังขาก็โอเคครับเคยเข้าเลยบริากรใช้ได้เลย,1,"Royal Hospital to a hospital in Bangkok, one of the most common hair because the government is not keeping up high. I was quite impressed with it, so the cost is also near the hotel. To BTS, making it even more Raa to wait long before they go elsewhere to save time and banked there, there's lots to eat because many department stores here. I love sitting at the top would be the Air Center One, because I need to make 555 not frustrated with the wait. I see I try to use my legs Skin Institute is OK, but I've yet acceded resources available."
โรงพยาบาลราชวิธีเป็นโรงพยาบาลหนึ่งถือผมเข้าบ่อยที่สุดในกรุงเทพมหานครครับเพราะเป็นของรัฐบาลจึงมีค่ารักษาไม่สูง ค่อนข้างถูกด้วยซ้ำจึงทำให้ผมติดใจเรื่องของค่าใช้จ่ายอีกทั้งยังอยู่ใกล้ที่พัก ติดสถานีรถไฟฟ้า BTS ทำให้สะดวกยิ่งขึ้นเพระาต่อให้รอคิวนานแค่ไหนก็ยังไปที่อื่นก่อนได้เพื่อเป็นการประหยัดเวลาแถสที่นั่นยังมีของกินให้มามายเพราะติดห้างสรรพสินค้ามากมายครับ ที่ผมชอบนั่งสุดก็คงจะเป็น Center One เพราะมีแอร์ครับ 555 ทำให้เพลินจะได้ไม่หงุดหงิดตอนรอคิวด้วยครับ อยากให้เพื่อนๆลองเข้าไปใช้บริการดูนะครับสถาบันผิวหนังขาก็โอเคครับเคยเข้าเลยบริากรใช้ได้เลย,1,"Royal Hospital to a hospital in Bangkok, one of the most common hair because the government is not keeping up high. I was quite impressed with it, so the cost is also near the hotel. To BTS, making it even more Raa to wait long before they go elsewhere to save time and banked there, there's lots to eat because many department stores here. I love sitting at the top would be the Air Center One, because I need to make 555 not frustrated with the wait. I see I try to use my legs Skin Institute is OK, but I've yet acceded resources available."
คุณหมอและเจ้าหน้าที่ บริากรค่อนข้างโอเคครับ เอาใจใส่ผู้ป่วยทุกรายสามารถคุยเล่นกับคุณหมอได้พอสมควรเลยครับ เป็นกันเองแบบสุดๆครับ รอก็ไม่นานมากเท่าไหร่ สามารถเดินไปเล่นบริเวณห้างตรงอนุเสาวรีได้ก่อนครับ จะได้ไม่ร้อนมาก ส่วนแถวของกินแถวนั้นเยอะมากครับอีกทั้งในโรงพยาบาลยังมีโรงอาหารที่ใหญ่มาก ของขายก็เยอะมากครับ ที่สำคัญนะครับผมไม่มีสิทธิอะไรยังจ่ายราคาไม่แพงเลยในเรื่องของค่ารักษาพยาบาลเป็นโรงบาลที่โอเคมากๆเลยในระดับหนึ่งเลยหล่ะครับ,1,"The doctor and staff Ria's arm is quite ok. Pay attention to all patients can talk with your doctor is reasonably good. It was extremely friendly Wait, it's not much. Within walking distance to area shopping at the monument before it. It was not so hot Kinแtw row of the lot and the hospital has a large cafeteria. It's a lot of sales More importantly, I do not have a right to pay less expensive in terms of medical expenses, the hospital that's really a good one for me."
