reviews,ratings
           บรรยากาศโรงพยาบาลสวยงามมีแอร์เย็นสบาย  เดินทางไปสะดวก  บุคคลากรทุกคนบริการคนไข้ดีมากตั้งแต่เดินไปเลย  ก็จะมีคนคอยแนะนำว่ากรอกประวัติคนไข้ใหม่ยังไงบ้าง  ต้องทำอะไรในขั้นตอนต่อไป  ต้องไปหาหมอชั้นไหน   พอไปถึงหน้าห้องตรวจก็รอคิวไม่นานค่ะ  พยาบาลและคุณหมอใจดี  ค่ารักษาไม่แพง และรักษาดีมากค่ะ ,1
มีศูนย์โรงผิวหนังเฉพาะทางที่ดีมากๆ​ คุณหมอทุกคนเก่งมากๆ​ และใจดีมากๆ​ ให้คำปรึกษาดีมากในการรักษา อบอุ่นมากๆ​ พี่ๆพยาบาลก็น่ารัก​ แต่ว่าต้องไปเช้าๆหน่อยเพื่อไปรับคิว​ ยาของที่โรงพยาบาลก็ดีมากๆ​ ราคาไม่แพง​ เข้าถึงได้ง่าย​ ค่าใช้จ่ายโดยวมในการไปรักษาถือว่าไม่แพง​ อีกทั้งยังมีเครื่องมือในการตรวจที่ครบครัน​ มีห้องตรวจเฉพาะด้านหลายห้องมาก​ คุณหมอใจดีมาก​ ตอนไปตรวจครั้งแรกเครียดมาก​ แต่คุณหมอก็ชวนคุยให้หายเครียด​ ทำให้ชอบที่นี้มากๆ​ เวลามาหาหมอก็ไม่ค่อยเก็งเหมือนตอนมาแรกๆ​,1
"หมอและพยาบาลบริการดีครับ สุขภาพเรียบร้อยให้การตรวจรักษาอย่างดี
ระบบการจัดคิดตรวจ จ่ายเงิน รับยา รับใบนัด เป็นระเบียบเรียบร้อยเข้าใจง่าย เครื่องมือที่ใช้ตรวจมีความทันสมัย สะอาด และค่าบริการไม่แพงเกินไป ตัวอาคารถือว่าใหม่ แต่ลิฟท์น้อยไปหน่อย ห้องน้ำมีกลิ่นบ้างแต่ถือว่าสะอาดพอสมควร มีพนักงานคอยทำความสะอาดตลอด
มีโรงอาหารและร้านค้าให้เลือกหลากหลาย เพียงพอต่อความต้องการ
การเดินทางมาสะดวก ที่จอดรถมีพอสมควร แต่แนะนำให้นั่งรถสาธารณมาจะดีกว่า",1
การให้บริการของพยาบาลและคุณหมอดีมากๆค่ะ โรงพยาบาลมีร้านค้าและตลาดให้ซื้อของเยี่ยมคนไข้ โรงอาหารก็อาหารอร่อย แต่คนเยอะทำให้ต้องรอคิวนานต้องไปแต่เช้ามืดและมักมีปัญหาเรื่องที่นั่งรอกับที่จอดรถไม่พออยู่บ่อยๆ แถมที่นั่งรอบางที่เองก็ร้อนมากๆไม่มีพัดลมให้ จะไปแต่ละทีต้องเตรียมของเตรียมตัวให้พร้อมออกจากบ้านตั้งแต่6โมงเพื่อไปรอคิวและจองที่นั่งรอพบคุณหมอ,1
ที่ โรงพยาบาลราชวิถี ให้การตรวจรักษาและให้บริการดีมากๆ ตั้งแต่คุณหมอ คุณพยาบาล เจ้าหน้าที่ เจ้าหน้าที่เปล คุณหมอคนไข้เยอะมากๆ คุณหมอไม่พักเที่ยงคุณหมอตรวจคิวขอเราไปจนถึงบ่ายโมงกว่าๆ แล้วยังมีคิวคนไข้อีก คุณทานข้าวเที่ยงตอนไหนค่ะ เห็นแล้วอยากให้คุณหมอรักษาสุขภาพด้วย ต้องขอขอบคุณคุณหมอมากๆค่ะ ขอบคุณคุณพยาบาล ขอบคุณเจ้าหน้าที่ทุกท่านเลยค่ะ,1
ดิฉันเคยไปผ่าตัดตาสองชั้นที่โรงพยาบาลราชวิถีค่ะซึ่งตาของดิฉันจะไม่เท่ากันข้างขวาจะเล็กกว่าข้างซ้ายเพราะมันเกียวกับหนังตาค่ะ ก่อนจะมาผ่าตัดที่โรงพยาบาลนี้ก็มีโรงพยาบาลอื่นแนะนำมาว่าให้ใช้สิทธิ์ของเราค่ะบัตร30บาทในการรักษาดิฉันเป็นคนต่างจังหวัดจึงทำเรื่องส่งตัวมาที่โรงพยบาลราชวิถี ซึ่งคุณหมอก็วินิจฉัย แล้วก็ตกลงจะผ่าตัดดึงหนังตาให้เป็น2ชั้นให้มันเท่ากัน ก็ได้จองคิว รอคิวแระมาณ5-6เดือนค่ะ คุณหมอก็ให้คำปรึกษาดีค่ะและนัดติดตามผลตลอดค่ะ,1
เป็นรพ.ที่ดิฉันมั่นใจเรื่องสูตินรีเวชมากค่ะ คุณหมอวินิจฉัยละเอียดและดีที่สุดสำหรับการรักษาผู้หญิงเฉพาะทางค่ะ(ถึงพยาบาลบางคนจะดุและปากเร็วดูบ้างแต่ก็ใช่ว่าจะละเลยคนไข้ค่ะ)ส่วนตัวคือไม่ชอบการบริการของพยาบาลบางท่าน..แต่การรักษาของทีมแพทย์สุดยอดค่ะ..เชี่ยวชาญที่สุดแล้วค่ะ เพราะการรักษาของดิฉันในครั้งนั้นใช้บัตรทองแต่การรักษาเทียบเท่ากันทุกสถานะภาพ โรงพยาบาลนี้ฝากชีวิตไว้ได้แน่นอนค่ะ,1
โรงพยาบาลราชวิธีเป็นโรงพยาบาลหนึ่งถือผมเข้าบ่อยที่สุดในกรุงเทพมหานครครับเพราะเป็นของรัฐบาลจึงมีค่ารักษาไม่สูง ค่อนข้างถูกด้วยซ้ำจึงทำให้ผมติดใจเรื่องของค่าใช้จ่ายอีกทั้งยังอยู่ใกล้ที่พัก ติดสถานีรถไฟฟ้า BTS ทำให้สะดวกยิ่งขึ้นเพระาต่อให้รอคิวนานแค่ไหนก็ยังไปที่อื่นก่อนได้เพื่อเป็นการประหยัดเวลาแถสที่นั่นยังมีของกินให้มามายเพราะติดห้างสรรพสินค้ามากมายครับ ที่ผมชอบนั่งสุดก็คงจะเป็น Center One เพราะมีแอร์ครับ 555 ทำให้เพลินจะได้ไม่หงุดหงิดตอนรอคิวด้วยครับ อยากให้เพื่อนๆลองเข้าไปใช้บริการดูนะครับสถาบันผิวหนังขาก็โอเคครับเคยเข้าเลยบริากรใช้ได้เลย,1
โรงพยาบาลราชวิธีเป็นโรงพยาบาลหนึ่งถือผมเข้าบ่อยที่สุดในกรุงเทพมหานครครับเพราะเป็นของรัฐบาลจึงมีค่ารักษาไม่สูง ค่อนข้างถูกด้วยซ้ำจึงทำให้ผมติดใจเรื่องของค่าใช้จ่ายอีกทั้งยังอยู่ใกล้ที่พัก ติดสถานีรถไฟฟ้า BTS ทำให้สะดวกยิ่งขึ้นเพระาต่อให้รอคิวนานแค่ไหนก็ยังไปที่อื่นก่อนได้เพื่อเป็นการประหยัดเวลาแถสที่นั่นยังมีของกินให้มามายเพราะติดห้างสรรพสินค้ามากมายครับ ที่ผมชอบนั่งสุดก็คงจะเป็น Center One เพราะมีแอร์ครับ 555 ทำให้เพลินจะได้ไม่หงุดหงิดตอนรอคิวด้วยครับ อยากให้เพื่อนๆลองเข้าไปใช้บริการดูนะครับสถาบันผิวหนังขาก็โอเคครับเคยเข้าเลยบริากรใช้ได้เลย,1
คุณหมอและเจ้าหน้าที่ บริากรค่อนข้างโอเคครับ เอาใจใส่ผู้ป่วยทุกรายสามารถคุยเล่นกับคุณหมอได้พอสมควรเลยครับ เป็นกันเองแบบสุดๆครับ รอก็ไม่นานมากเท่าไหร่ สามารถเดินไปเล่นบริเวณห้างตรงอนุเสาวรีได้ก่อนครับ จะได้ไม่ร้อนมาก ส่วนแถวของกินแถวนั้นเยอะมากครับอีกทั้งในโรงพยาบาลยังมีโรงอาหารที่ใหญ่มาก ของขายก็เยอะมากครับ ที่สำคัญนะครับผมไม่มีสิทธิอะไรยังจ่ายราคาไม่แพงเลยในเรื่องของค่ารักษาพยาบาลเป็นโรงบาลที่โอเคมากๆเลยในระดับหนึ่งเลยหล่ะครับ,1
